msa_name,year,msa_no,normusaspminpop,normusasminorestab,MinorityUsasp,normusaswompop,normusaswomestab,WomanUsasp,normawardestab,normawardpop,AwardAmount,normsampop1000,normsamestab,ann_sam_registrations,normwompop1000,normwomestab,Woman,normminorpop1000,normminorest,Minority,normcdfipop10000,normcdfiestab10000,cumulativecdfi,normmdipop10000,normmdiestab10000,UnemploymentRate,UnemploymentPerCapita,AvgAverageWeeklyWage,EstablishmentCount,AvgPopulation
"Decatur, AL MSA",2021,19460,903,30975,1947488,0,0,0,38331,1118,2410000,13,0,27,39,1,84,22,1,48,,,,,,10,0,968,10186,155253
"Decatur, IL MSA",2019,19500,367,17627,474225,0,0,0,17627,367,474225,18,1,23,33,2,42,36,2,46,,,,,,20,0,1010,8609,103363
"Decatur, IL MSA",2020,19500,543,26626,702088,0,0,0,27400,559,722505,28,1,36,52,3,67,44,2,57,,,,,,40,1,1066,8438,103363
"Decatur, IL MSA",2021,19500,192,7123,248198,0,0,0,7123,192,248198,12,0,16,19,1,25,23,1,30,,,,,,30,0,1150,6272,103363
"Deltona-Daytona Beach-Ormond Beach, FL MSA",2019,19660,452,17202,1621944,746,28383,2676199,61729,1621,5820354,55,2,198,180,7,645,172,7,617,,,,,,15,0,781,70917,674859
"Deltona-Daytona Beach-Ormond Beach, FL MSA",2020,19660,588,21791,2109130,3808,141233,13669762,260412,7022,25204985,77,3,277,204,8,733,184,7,662,,,,,,31,0,840,72790,674859
"Deltona-Daytona Beach-Ormond Beach, FL MSA",2021,19660,0,0,0,20,551,73440,5070,188,675242,35,1,124,104,3,372,93,3,333,,,,,,19,0,879,56347,674859
"Denver-Aurora, CO MSA",2019,19740,170157,4697060,651179121,5567,153675,21304872,43638570,1580863,6049854115,404,11,1547,1433,40,5484,1031,28,3947,0,0,11,0,0,10,0,1312,430428,2969698
"Denver-Aurora, CO MSA",2020,19740,45209,1200472,173010074,12038,319656,46068248,51139387,1925858,7370126046,564,15,2160,1486,39,5685,1112,30,4257,0,0,13,0,0,30,1,1418,447390,2969698
"Denver-Aurora, CO MSA",2021,19740,13986,263631,53521760,3627,68372,13880727,7312600,387932,1484588461,262,5,1004,695,13,2661,543,10,2079,,,,0,0,23,0,1465,354522,2969698
